Date,City,Temperature (°C),Humidity (%),Wind Speed (km/h),Weather Condition
2010-01-05,Dallas,-4.6,15,21.9,Rainy
2010-01-05,San Jose,30.3,22,5.0,Foggy
2010-01-06,New York,19.6,84,11.9,Snowy
2010-01-06,Los Angeles,36.2,76,14.0,Clear
2010-01-06,Chicago,33.0,14,22.8,Thunderstorm
2010-01-06,Houston,0.7,38,4.8,Foggy
2010-01-06,Phoenix,3.4,49,21.9,Thunderstorm
2010-01-06,Philadelphia,27.8,93,22.8,Clear
2010-01-06,San Antonio,13.4,76,9.3,Cloudy
2010-01-06,San Diego,30.6,100,13.8,Foggy
2010-01-06,Dallas,12.3,10,11.3,Thunderstorm
2010-01-06,San Jose,0.6,30,28.2,Cloudy
2010-01-07,New York,23.5,66,16.0,Snowy
2010-01-07,Los Angeles,29.5,29,12.7,Snowy
2010-01-07,Chicago,20.7,17,14.7,Clear
2010-01-07,Houston,28.7,65,4.3,Clear
2010-01-07,Phoenix,29.9,89,6.3,Clear
2010-01-07,Philadelphia,37.9,78,18.3,Clear
2010-01-07,San Antonio,23.4,41,25.6,Foggy
2010-01-07,San Diego,38.8,15,16.1,Clear
2010-01-07,Dallas,38.7,93,25.5,Rainy
2010-01-07,San Jose,35.0,32,1.5,Rainy
2010-01-08,New York,25.6,57,7.2,Cloudy
2010-01-08,Los Angeles,-3.7,96,14.0,Foggy
2010-01-08,Chicago,28.1,52,6.3,Clear
2010-01-08,Houston,32.5,76,16.6,Cloudy
2010-01-08,Phoenix,15.5,62,29.7,Thunderstorm
2010-01-08,Philadelphia,2.4,34,23.5,Thunderstorm
2010-01-08,San Antonio,40.0,14,0.7,Clear
2010-01-08,San Diego,20.9,57,17.8,Clear
2010-01-08,Dallas,-4.9,10,14.1,Cloudy
2010-01-08,San Jose,22.0,84,1.0,Rainy
2010-01-09,New York,14.4,53,29.5,Snowy
2010-01-09,Los Angeles,35.9,62,11.9,Cloudy
2010-01-09,Chicago,2.8,86,14.3,Foggy
2010-01-09,Houston,-7.3,75,25.6,Snowy
2010-01-09,Phoenix,-2.7,20,25.2,Rainy
2010-01-09,Philadelphia,2.7,97,12.5,Thunderstorm
2010-01-09,San Antonio,-8.2,84,25.2,Foggy
2010-01-09,San Diego,0.9,37,2.6,Clear
2010-01-09,Dallas,27.9,82,6.2,Foggy
2010-01-09,San Jose,-9.6,33,19.2,Snowy
2010-01-10,New York,33.6,60,29.7,Clear
2010-01-10,Los Angeles,9.4,68,25.6,Foggy
2010-01-10,Chicago,7.2,38,4.2,Clear
2010-01-10,Houston,33.7,22,16.5,Cloudy
2010-01-10,Phoenix,13.2,38,10.2,Foggy
2010-01-10,Philadelphia,39.3,100,1.0,Thunderstorm
2010-01-10,San Antonio,15.4,59,4.8,Cloudy
2010-01-10,San Diego,33.9,51,18.1,Rainy
2010-01-10,Dallas,36.6,37,10.4,Rainy
2010-01-10,San Jose,22.3,26,6.4,Rainy
2010-01-11,New York,20.5,90,29.8,Thunderstorm
2010-01-11,Los Angeles,1.2,25,1.7,Rainy
2010-01-11,Chicago,-4.7,71,27.4,Thunderstorm
2010-01-11,Houston,10.3,38,11.8,Thunderstorm
2010-01-11,Phoenix,22.7,66,1.9,Cloudy
2010-01-11,Philadelphia,-3.8,32,21.8,Snowy
2010-01-11,San Antonio,38.7,86,1.3,Clear
2010-01-11,San Diego,21.4,75,23.5,Snowy
2010-01-11,Dallas,8.1,53,8.5,Thunderstorm
2010-01-11,San Jose,9.8,71,3.1,Cloudy
2010-01-12,New York,9.3,21,9.6,Snowy
2010-01-12,Los Angeles,13.8,53,23.8,Thunderstorm
2010-01-12,Chicago,-0.1,16,12.1,Clear
2010-01-12,Houston,4.1,100,1.0,Foggy
2010-01-12,Phoenix,18.4,74,24.2,Clear
2010-01-12,Philadelphia,24.6,56,16.6,Clear
2010-01-12,San Antonio,27.1,84,27.2,Thunderstorm
2010-01-12,San Diego,35.0,75,8.8,Snowy
2010-01-12,Dallas,20.6,23,3.2,Cloudy
2010-01-12,San Jose,4.4,35,4.2,Foggy
2010-01-13,New York,11.8,98,14.0,Foggy
2010-01-13,Los Angeles,20.9,54,16.5,Clear
2010-01-13,Chicago,20.4,88,4.2,Cloudy
2010-01-13,Houston,-3.8,26,17.2,Snowy
2010-01-13,Phoenix,30.5,80,6.6,Thunderstorm
2010-01-13,Philadelphia,31.9,89,21.1,Foggy
2010-01-13,San Antonio,-9.3,48,1.9,Cloudy
2010-01-13,San Diego,14.8,96,20.8,Foggy
2010-01-13,Dallas,18.6,96,3.3,Foggy
2010-01-13,San Jose,39.2,57,26.4,Thunderstorm
2010-01-14,New York,5.1,58,20.8,Thunderstorm
2010-01-14,Los Angeles,-1.0,16,16.8,Clear
2010-01-14,Chicago,34.0,71,21.6,Thunderstorm
2010-01-14,Houston,39.1,72,13.3,Foggy
2010-01-14,Phoenix,17.4,63,23.4,Clear
2010-01-14,Philadelphia,-9.9,72,29.5,Rainy
2010-01-14,San Antonio,10.6,56,20.4,Rainy
2010-01-14,San Diego,27.4,60,2.0,Cloudy
2010-01-14,Dallas,35.7,85,26.2,Clear
2010-01-14,San Jose,15.3,96,22.9,Snowy
2010-01-15,New York,24.0,43,7.0,Clear
2010-01-15,Los Angeles,30.8,50,20.8,Foggy
2010-01-15,Chicago,34.7,19,18.3,Cloudy
2010-01-15,Houston,2.8,19,21.4,Cloudy
2010-01-15,Phoenix,14.1,84,15.1,Foggy
2010-01-15,Philadelphia,-0.1,45,1.5,Cloudy
2010-01-15,San Antonio,35.6,49,18.8,Cloudy
2010-01-15,San Diego,19.7,60,3.0,Cloudy
2010-01-15,Dallas,-5.6,68,2.9,Clear
2010-01-15,San Jose,-7.0,50,24.8,Snowy
2010-01-16,New York,-9.6,98,4.5,Thunderstorm
2010-01-16,Los Angeles,5.1,12,3.1,Thunderstorm
2010-01-16,Chicago,11.9,35,16.1,Rainy
2010-01-16,Houston,3.8,92,25.1,Snowy
2010-01-16,Phoenix,13.1,38,29.6,Clear
2010-01-16,Philadelphia,14.1,98,23.6,Snowy
2010-01-16,San Antonio,11.0,24,4.2,Foggy
2010-01-16,San Diego,24.0,36,8.3,Snowy
2010-01-16,Dallas,36.2,80,21.7,Snowy
2010-01-16,San Jose,-1.7,44,6.5,Cloudy
2010-01-17,New York,24.7,15,9.8,Foggy
2010-01-17,Los Angeles,27.3,82,9.7,Clear
2010-01-17,Chicago,29.8,100,23.3,Thunderstorm
2010-01-17,Houston,15.4,77,21.3,Rainy
2010-01-17,Phoenix,26.2,91,0.7,Clear
2010-01-17,Philadelphia,39.9,33,6.4,Clear
2010-01-17,San Antonio,33.9,78,2.1,Foggy
2010-01-17,San Diego,-0.9,34,27.0,Rainy
2010-01-17,Dallas,10.8,46,8.7,Foggy
2010-01-17,San Jose,34.5,57,14.3,Thunderstorm
2010-01-18,New York,20.8,91,25.9,Clear
2010-01-18,Los Angeles,-9.0,36,3.9,Cloudy
2010-01-18,Chicago,-6.6,48,6.9,Snowy
2010-01-18,Houston,8.7,35,14.9,Cloudy
2010-01-18,Phoenix,24.6,54,12.3,Clear
2010-01-18,Philadelphia,38.7,22,6.8,Cloudy
2010-01-18,San Antonio,8.4,74,1.4,Clear
2010-01-18,San Diego,-6.0,18,27.1,Cloudy
2010-01-18,Dallas,37.2,90,25.0,Rainy
2010-01-18,San Jose,-8.4,85,20.0,Clear
2010-01-19,New York,29.3,46,27.8,Clear
2010-01-19,Los Angeles,35.5,96,6.6,Cloudy
2010-01-19,Chicago,27.9,56,10.4,Thunderstorm
2010-01-19,Houston,-7.7,28,9.7,Clear
2010-01-19,Phoenix,19.9,74,16.8,Foggy
2010-01-19,Philadelphia,33.2,63,0.3,Foggy
2010-01-19,San Antonio,2.0,46,9.1,Clear
2010-01-19,San Diego,22.4,11,0.1,Snowy
2010-01-19,Dallas,18.6,73,4.1,Snowy
2010-01-19,San Jose,3.3,27,4.6,Cloudy
2010-01-20,New York,-3.4,18,20.2,Cloudy
2010-01-20,Los Angeles,6.7,39,10.2,Thunderstorm
2010-01-20,Chicago,15.8,68,5.5,Foggy
2010-01-20,Houston,22.4,100,1.0,Foggy
2010-01-20,Phoenix,22.9,70,22.3,Thunderstorm
2010-01-20,Philadelphia,-7.4,59,22.3,Foggy
2010-01-20,San Antonio,0.0,20,16.5,Rainy
2010-01-20,San Diego,37.5,97,0.0,Snowy
2010-01-20,Dallas,2.7,38,26.8,Clear
2010-01-20,San Jose,-1.2,70,25.1,Foggy
2010-01-21,New York,-3.1,27,17.2,Clear
2010-01-21,Los Angeles,12.3,18,16.5,Rainy
2010-01-21,Chicago,31.9,33,5.8,Clear
2010-01-21,Houston,-0.6,21,3.9,Foggy
2010-01-21,Phoenix,25.3,30,21.8,Thunderstorm
2010-01-21,Philadelphia,-2.4,82,11.8,Cloudy
2010-01-21,San Antonio,-0.4,52,13.3,Clear
2010-01-21,San Diego,20.3,33,16.2,Clear
2010-01-21,Dallas,37.0,38,4.6,Rainy
2010-01-21,San Jose,3.0,63,19.3,Rainy
2010-01-22,New York,18.2,53,16.7,Foggy
2010-01-22,Los Angeles,27.0,96,11.1,Clear
2010-01-22,Chicago,29.5,16,22.0,Cloudy
2010-01-22,Houston,21.7,33,6.5,Rainy
2010-01-22,Phoenix,10.3,34,10.0,Clear
2010-01-22,Philadelphia,2.0,76,29.1,Thunderstorm
2010-01-22,San Antonio,23.4,27,13.4,Snowy
2010-01-22,San Diego,23.6,15,24.2,Cloudy
2010-01-22,Dallas,-3.3,69,1.8,Foggy
2010-01-22,San Jose,33.9,56,20.8,Clear
2010-01-23,New York,-2.6,36,24.8,Foggy
2010-01-23,Los Angeles,26.1,90,15.1,Rainy
2010-01-23,Chicago,10.0,37,22.6,Clear
2010-01-23,Houston,30.9,76,16.3,Snowy
2010-01-23,Phoenix,37.5,95,16.0,Rainy
2010-01-23,Philadelphia,-4.9,15,0.1,Thunderstorm
2010-01-23,San Antonio,0.8,79,15.1,Thunderstorm
2010-01-23,San Diego,-0.7,54,28.2,Thunderstorm
2010-01-23,Dallas,7.6,42,19.2,Thunderstorm
2010-01-23,San Jose,11.4,95,8.9,Thunderstorm
2010-01-24,New York,29.0,53,25.6,Cloudy
2010-01-24,Los Angeles,24.5,46,24.4,Cloudy
2010-01-24,Chicago,-1.7,10,9.5,Thunderstorm
2010-01-24,Houston,9.1,15,11.5,Snowy
2010-01-24,Phoenix,39.5,83,11.7,Clear
2010-01-24,Philadelphia,19.0,81,22.9,Snowy
2010-01-24,San Antonio,28.1,76,16.2,Snowy
2010-01-24,San Diego,-3.6,91,28.8,Cloudy
2010-01-24,Dallas,4.8,84,15.9,Foggy
2010-01-24,San Jose,-8.0,66,29.8,Foggy
2010-01-25,New York,3.6,54,8.7,Rainy
2010-01-25,Los Angeles,39.6,96,23.5,Foggy
2010-01-25,Chicago,31.4,58,25.6,Foggy
2010-01-25,Houston,9.3,84,4.8,Foggy
2010-01-25,Phoenix,23.9,84,16.9,Thunderstorm
2010-01-25,Philadelphia,22.9,12,20.8,Foggy
2010-01-25,San Antonio,15.8,40,10.8,Snowy
2010-01-25,San Diego,0.1,57,12.4,Thunderstorm
2010-01-25,Dallas,0.2,17,17.5,Clear
2010-01-25,San Jose,9.4,50,20.6,Snowy
2010-01-26,New York,27.8,83,15.7,Thunderstorm
2010-01-26,Los Angeles,11.9,75,23.6,Cloudy
2010-01-26,Chicago,34.3,26,20.3,Cloudy
2010-01-26,Houston,9.4,56,18.3,Thunderstorm
2010-01-26,Phoenix,1.5,67,29.0,Cloudy
2010-01-26,Philadelphia,14.4,100,8.8,Clear
2010-01-26,San Antonio,2.1,56,17.6,Rainy
2010-01-26,San Diego,10.6,21,4.3,Cloudy
2010-01-26,Dallas,-2.4,68,15.1,Snowy
2010-01-26,San Jose,37.7,53,24.3,Thunderstorm
2010-01-27,New York,-0.4,90,21.5,Cloudy
2010-01-27,Los Angeles,15.0,42,20.6,Snowy
2010-01-27,Chicago,6.7,100,27.8,Thunderstorm
2010-01-27,Houston,11.1,21,20.8,Foggy
2010-01-27,Phoenix,-3.4,11,6.5,Clear
2010-01-27,Philadelphia,6.9,71,8.1,Thunderstorm
2010-01-27,San Antonio,31.2,61,7.6,Thunderstorm
2010-01-27,San Diego,22.0,45,14.7,Clear
2010-01-27,Dallas,4.0,86,17.5,Thunderstorm
2010-01-27,San Jose,7.7,46,27.4,Thunderstorm
2010-01-28,New York,33.3,28,26.7,Cloudy
2010-01-28,Los Angeles,5.2,13,27.1,Clear
2010-01-28,Chicago,-8.5,72,26.4,Foggy
2010-01-28,Houston,37.6,73,2.7,Cloudy
2010-01-28,Phoenix,9.7,10,23.3,Cloudy
2010-01-28,Philadelphia,21.2,84,25.6,Rainy
2010-01-28,San Antonio,36.7,86,26.3,Foggy
2010-01-28,San Diego,34.0,31,27.4,Thunderstorm
2010-01-28,Dallas,27.1,53,12.6,Cloudy
2010-01-28,San Jose,10.5,50,20.3,Clear
2010-02-01,New York,1.6,99,9.3,Rainy
2010-02-01,Los Angeles,39.2,42,9.2,Rainy
2010-02-01,Chicago,26.9,97,0.6,Foggy
2010-02-01,Houston,12.3,14,8.5,Foggy
2010-02-01,Phoenix,10.7,59,15.5,Cloudy
2010-02-01,Philadelphia,-6.1,15,17.0,Rainy
2010-02-01,San Antonio,28.2,84,29.5,Thunderstorm
2010-02-01,San Diego,38.3,63,1.3,Foggy
2010-02-01,Dallas,-7.6,41,7.2,Snowy
2010-02-01,San Jose,26.9,32,12.6,Rainy
2010-02-02,New York,-8.9,60,18.1,Snowy
2010-02-02,Los Angeles,21.9,73,5.0,Foggy
2010-02-02,Chicago,-8.3,53,8.7,Rainy
2010-02-02,Houston,15.6,62,7.3,Clear
2010-02-02,Phoenix,12.4,82,22.8,Foggy
2010-02-02,Philadelphia,16.9,16,16.6,Foggy
2010-02-02,San Antonio,33.2,57,8.1,Foggy
2010-02-02,San Diego,-2.3,89,28.0,Rainy
2010-02-02,Dallas,36.9,52,25.8,Foggy
2010-02-02,San Jose,27.4,72,5.5,Rainy
2010-02-03,New York,22.0,12,17.1,Rainy
2010-02-03,Los Angeles,22.9,52,14.0,Cloudy
2010-02-03,Chicago,19.1,64,11.9,Cloudy
2010-02-03,Houston,37.8,67,1.1,Cloudy
2010-02-03,Phoenix,29.5,43,22.6,Cloudy
2010-02-03,Philadelphia,-2.7,91,16.9,Clear
2010-02-03,San Antonio,37.5,42,9.7,Cloudy
2010-02-03,San Diego,26.1,38,2.0,Cloudy
2010-02-03,Dallas,13.5,85,0.4,Rainy
2010-02-03,San Jose,-3.3,16,12.1,Clear
2010-02-04,New York,4.7,69,6.8,Foggy
2010-02-04,Los Angeles,14.1,74,26.6,Rainy
2010-02-04,Chicago,-0.5,32,1.8,Rainy
2010-02-04,Houston,3.1,12,23.4,Foggy
2010-02-04,Phoenix,-4.7,47,1.1,Rainy
2010-02-04,Philadelphia,39.4,50,25.1,Rainy
2010-02-04,San Antonio,24.9,67,20.6,Thunderstorm
2010-02-04,San Diego,-1.2,28,22.0,Thunderstorm
2010-02-04,Dallas,9.0,39,16.4,Thunderstorm
2010-02-04,San Jose,38.3,36,0.9,Snowy
2010-02-05,New York,31.6,20,14.7,Thunderstorm
2010-02-05,Los Angeles,13.2,26,10.0,Thunderstorm
2010-02-05,Chicago,30.5,24,19.4,Cloudy
2010-02-05,Houston,-2.2,45,29.3,Snowy
2010-02-05,Phoenix,21.2,61,12.4,Thunderstorm
2010-02-05,Philadelphia,18.2,89,1.4,Rainy
2010-02-05,San Antonio,-5.6,56,9.1,Clear
2010-02-05,San Diego,17.2,31,28.8,Rainy
2010-02-05,Dallas,20.2,70,18.7,Thunderstorm
2010-02-05,San Jose,4.4,15,9.8,Clear
2010-02-06,New York,28.5,68,14.6,Foggy
2010-02-06,Los Angeles,19.6,89,7.0,Snowy
2010-02-06,Chicago,34.9,50,20.0,Rainy
2010-02-06,Houston,-1.9,81,2.6,Thunderstorm
2010-02-06,Phoenix,34.6,28,17.6,Foggy
2010-02-06,Philadelphia,4.3,85,2.2,Snowy
2010-02-06,San Antonio,4.5,62,13.3,Foggy
2010-02-06,San Diego,16.7,57,13.9,Clear
2010-02-06,Dallas,21.3,32,4.8,Snowy
2010-02-06,San Jose,27.8,38,13.7,Cloudy
2010-02-07,New York,2.9,38,4.4,Cloudy
2010-02-07,Los Angeles,2.3,93,1.1,Rainy
2010-02-07,Chicago,23.5,100,8.4,Cloudy
2010-02-07,Houston,27.1,15,16.4,Thunderstorm
2010-02-07,Phoenix,29.4,58,15.9,Rainy
2010-02-07,Philadelphia,7.0,15,4.5,Cloudy
2010-02-07,San Antonio,-6.0,51,29.6,Rainy
2010-02-07,San Diego,4.7,91,25.0,Snowy
2010-02-07,Dallas,24.9,82,26.9,Clear
2010-02-07,San Jose,36.4,99,10.5,Snowy
2010-02-08,New York,11.4,29,27.1,Thunderstorm
2010-02-08,Los Angeles,10.2,91,29.8,Rainy
2010-02-08,Chicago,7.7,11,27.0,Foggy
2010-02-08,Houston,18.0,69,12.6,Rainy
2010-02-08,Phoenix,-3.2,75,4.8,Thunderstorm
2010-02-08,Philadelphia,7.4,60,23.1,Foggy
2010-02-08,San Antonio,12.7,77,2.3,Snowy
2010-02-08,San Diego,11.7,78,30.0,Rainy
2010-02-08,Dallas,6.9,30,13.0,Rainy
2010-02-08,San Jose,34.3,28,18.8,Rainy
2010-02-09,New York,35.6,96,12.1,Rainy
2010-02-09,Los Angeles,4.0,67,7.6,Rainy
2010-02-09,Chicago,4.0,92,2.8,Snowy
2010-02-09,Houston,31.0,80,16.0,Snowy
2010-02-09,Phoenix,15.9,58,20.8,Thunderstorm
2010-02-09,Philadelphia,6.3,52,4.0,Foggy
2010-02-09,San Antonio,37.8,88,15.2,Clear
2010-02-09,San Diego,-7.8,28,9.4,Clear
2010-02-09,Dallas,21.2,55,10.3,Thunderstorm
2010-02-09,San Jose,30.4,28,25.6,Cloudy
2010-02-10,New York,12.3,30,12.7,Foggy
2010-02-10,Los Angeles,7.3,60,7.2,Clear
2010-02-10,Chicago,8.5,69,19.7,Rainy
2010-02-10,Houston,2.9,74,9.7,Foggy
2010-02-10,Phoenix,21.3,56,4.6,Cloudy
2010-02-10,Philadelphia,14.2,71,12.6,Clear
2010-02-10,San Antonio,-5.5,48,19.2,Cloudy
2010-02-10,San Diego,-4.2,44,26.4,Thunderstorm
2010-02-10,Dallas,9.2,22,20.8,Snowy
2010-02-10,San Jose,0.8,39,7.6,Clear
2010-02-11,New York,18.4,21,0.6,Cloudy
2010-02-11,Los Angeles,31.6,12,29.2,Rainy
2010-02-11,Chicago,-9.7,50,22.6,Snowy
2010-02-11,Houston,14.4,48,22.6,Snowy
2010-02-11,Phoenix,28.8,69,18.5,Cloudy
2010-02-11,Philadelphia,0.5,74,22.2,Cloudy
2010-02-11,San Antonio,39.2,36,28.2,Rainy
2010-02-11,San Diego,31.0,73,11.9,Snowy
2010-02-11,Dallas,9.0,16,28.6,Rainy
2010-02-11,San Jose,25.9,55,26.0,Rainy
2010-02-12,New York,19.8,32,26.4,Rainy
2010-02-12,Los Angeles,-4.7,20,5.4,Snowy
2010-02-12,Chicago,16.5,79,18.2,Rainy
2010-02-12,Houston,6.1,20,13.2,Thunderstorm
2010-02-12,Phoenix,25.2,93,18.3,Snowy
2010-02-12,Philadelphia,32.6,84,13.1,Foggy
2010-02-12,San Antonio,11.3,73,23.2,Rainy
2010-02-12,San Diego,21.2,87,3.1,Clear
2010-02-12,Dallas,38.5,18,21.3,Foggy
2010-02-12,San Jose,12.2,91,1.3,Snowy
2010-02-13,New York,34.8,38,3.9,Snowy
2010-02-13,Los Angeles,22.7,60,8.5,Thunderstorm
2010-02-13,Chicago,16.9,88,2.7,Cloudy
2010-02-13,Houston,-4.1,66,15.9,Snowy
2010-02-13,Phoenix,8.2,19,9.7,Rainy
2010-02-13,Philadelphia,29.8,30,15.1,Cloudy
2010-02-13,San Antonio,30.6,62,4.6,Snowy
2010-02-13,San Diego,24.9,79,27.0,Cloudy
2010-02-13,Dallas,23.7,66,9.4,Clear
2010-02-13,San Jose,39.4,38,19.0,Clear
2010-02-14,New York,-9.7,39,10.6,Clear
2010-02-14,Los Angeles,26.6,57,1.0,Rainy
2010-02-14,Chicago,31.5,16,15.1,Clear
2010-02-14,Houston,22.1,79,26.7,Snowy
2010-02-14,Phoenix,34.4,43,10.9,Clear
2010-02-14,Philadelphia,12.9,76,3.6,Rainy
2010-02-14,San Antonio,15.4,66,15.8,Cloudy
2010-02-14,San Diego,39.8,40,26.6,Rainy
2010-02-14,Dallas,4.7,69,24.9,Rainy
2010-02-14,San Jose,24.0,93,12.2,Snowy
2010-02-15,New York,-5.1,42,16.0,Thunderstorm
2010-02-15,Los Angeles,24.6,71,16.0,Cloudy
2010-02-15,Chicago,19.3,53,13.1,Cloudy
2010-02-15,Houston,-3.6,85,6.3,Thunderstorm
2010-02-15,Phoenix,0.4,79,21.4,Rainy
2010-02-15,Philadelphia,1.9,72,11.0,Snowy
2010-02-15,San Antonio,32.7,23,9.8,Thunderstorm
2010-02-15,San Diego,30.7,22,7.9,Snowy
2010-02-15,Dallas,-4.9,78,29.1,Clear
2010-02-15,San Jose,10.2,23,6.8,Thunderstorm
2010-02-16,New York,-1.1,61,12.3,Clear
2010-02-16,Los Angeles,1.3,11,24.2,Cloudy
2010-02-16,Chicago,25.9,46,10.6,Clear
2010-02-16,Houston,11.8,79,28.5,Foggy
2010-02-16,Phoenix,25.6,19,19.9,Clear
2010-02-16,Philadelphia,25.3,42,20.9,Foggy
2010-02-16,San Antonio,20.9,62,29.3,Snowy
2010-02-16,San Diego,1.5,98,23.3,Clear
2010-02-16,Dallas,18.6,81,9.9,Foggy
2010-02-16,San Jose,2.0,21,20.8,Thunderstorm
2010-02-17,New York,39.8,67,5.9,Thunderstorm
2010-02-17,Los Angeles,-3.1,37,20.0,Cloudy
2010-02-17,Chicago,36.0,62,27.8,Cloudy
2010-02-17,Houston,8.7,81,6.7,Clear
2010-02-17,Phoenix,28.2,65,5.3,Foggy
2010-02-17,Philadelphia,7.0,93,22.9,Rainy
2010-02-17,San Antonio,2.3,89,23.1,Rainy
2010-02-17,San Diego,10.0,63,9.6,Clear
2010-02-17,Dallas,-3.2,24,14.0,Foggy
2010-02-17,San Jose,-9.1,71,16.7,Snowy
2010-02-18,New York,4.6,60,20.2,Cloudy
2010-02-18,Los Angeles,-1.8,29,1.4,Snowy
2010-02-18,Chicago,2.6,77,5.4,Snowy
2010-02-18,Houston,23.8,66,19.3,Foggy
2010-02-18,Phoenix,14.4,90,2.7,Clear
2010-02-18,Philadelphia,-5.9,49,11.1,Thunderstorm
2010-02-18,San Antonio,-7.0,74,3.5,Foggy
2010-02-18,San Diego,5.0,61,21.2,Clear
2010-02-18,Dallas,11.0,81,0.8,Rainy
2010-02-18,San Jose,14.9,30,5.8,Snowy
2010-02-19,New York,25.5,59,7.0,Foggy
2010-02-19,Los Angeles,31.5,89,27.1,Snowy
2010-02-19,Chicago,-5.4,63,2.0,Clear
2010-02-19,Houston,33.7,79,16.8,Cloudy
2010-02-19,Phoenix,35.8,92,7.2,Rainy
2010-02-19,Philadelphia,12.1,47,29.8,Snowy
2010-02-19,San Antonio,25.7,91,26.3,Cloudy
2010-02-19,San Diego,29.3,30,6.2,Snowy
2010-02-19,Dallas,38.7,57,29.7,Cloudy
2010-02-19,San Jose,-1.7,90,26.7,Clear
2010-02-20,New York,2.0,98,5.3,Cloudy
2010-02-20,Los Angeles,30.3,84,6.4,Rainy
2010-02-20,Chicago,23.7,20,1.6,Clear
2010-02-20,Houston,26.8,44,27.0,Rainy
2010-02-20,Phoenix,7.6,10,26.0,Thunderstorm
2010-02-20,Philadelphia,15.1,77,1.4,Snowy
2010-02-20,San Antonio,4.1,26,10.0,Thunderstorm
2010-02-20,San Diego,33.1,98,24.6,Rainy
2010-02-20,Dallas,-5.3,20,25.1,Clear
2010-02-20,San Jose,10.1,30,13.8,Clear
2010-02-21,New York,29.2,79,18.8,Thunderstorm
2010-02-21,Los Angeles,23.4,100,11.2,Rainy
2010-02-21,Chicago,28.1,96,15.2,Snowy
2010-02-21,Houston,28.4,75,4.1,Snowy
2010-02-21,Phoenix,9.0,79,5.0,Rainy
2010-02-21,Philadelphia,33.7,25,5.7,Snowy
2010-02-21,San Antonio,5.2,84,22.3,Snowy
2010-02-21,San Diego,-9.8,13,24.9,Snowy
2010-02-21,Dallas,35.7,25,14.2,Rainy
2010-02-21,San Jose,15.3,71,8.1,Rainy
2010-02-22,New York,-3.4,86,23.7,Snowy
2010-02-22,Los Angeles,14.2,83,23.3,Foggy
2010-02-22,Chicago,-6.6,76,14.4,Cloudy
2010-02-22,Houston,10.7,12,28.2,Cloudy
2010-02-22,Phoenix,30.3,66,12.0,Rainy
2010-02-22,Philadelphia,11.7,57,14.6,Cloudy
2010-02-22,San Antonio,31.8,60,10.0,Cloudy
2010-02-22,San Diego,36.2,11,19.2,Cloudy
